56820.33984375,-20704.310546875,v1 
-21177.337890625,-8523.3857421875,v37 
61916.12109375,41615.01171875,v5 
27402.44921875,-27347.654296875,v65 
43820.2890625,51983.109375,v3 
41015.984375,9849.4794921875,v22 
-74870.25,28415.6171875,v42 
36044.58984375,-61290.375,v46 
-55956.4765625,-8701.248046875,v2 
34536.3359375,32908.875,v21 
-61011.26953125,-20082.49609375,v56 
-2664.547607421875,-27859.18359375,v24 
-11531.1123046875,-42306.45703125,v40 
-3783.62646484375,24522.365234375,v25 
-53756.97265625,47379.5390625,v52 
-36559.140625,-22151.677734375,v15 
-25944.87109375,72738.8515625,v19 
-119688.484375,166444.921875,v36 
-46072.0859375,-21799.19921875,v45 
1537.7913818359375,-4144.7080078125,v77 
-33041.8203125,57834.046875,v60 
-9804.3876953125,35848.21484375,v76 
-34991.08203125,-41040.20703125,v16 
39964.3359375,47563.4921875,v53 
-37188.22265625,-53779.96484375,v12 
-876.2324829101562,62267.0,v58 
-19688.267578125,13059.12890625,v69 
-17260.1796875,-11125.732421875,v78 
-59104.99609375,-18846.521484375,v23 
95637.25,-107834.1796875,v67 
-28801.603515625,-20775.587890625,v74 
-52688.484375,-31003.2109375,v57 
-14973.2197265625,-55089.83203125,v49 
-7649.740234375,-56402.5625,v39 
20207.533203125,65172.859375,v48 
-8832.2646484375,-28115.205078125,v26 
-7030.44873046875,90268.75,v75 
-8053.36376953125,-20756.2109375,v18 
-6564.8017578125,-2751.594970703125,v8 
4120.27197265625,-51032.7109375,v10 
-61252.60546875,14682.3896484375,v61 
93996.28125,50975.3203125,v38 
-26352.107421875,13564.7666015625,v20 
10721.548828125,-50098.24609375,v59 
61271.07421875,11155.9453125,v50 
-34519.56640625,19500.814453125,v72 
-7071.3212890625,-61639.19140625,v7 
30516.017578125,-14272.5771484375,v11 
-36356.7421875,109177.53125,v6 
-80217.03125,18712.9453125,v43 
